,store_num,mse,rmse,mae,mape,accuracy_rate
0,1,30606.00433593246,174.94571825549906,146.74389940462765,0.061203220793279355,0.9387967792067207
1,2,60714.1389205031,246.40239227836872,204.78947595689303,0.060433841277046395,0.9395661587229536
2,3,38427.59283496075,196.0295713277993,159.39899272860083,0.05218032470930779,0.9478196752906922
3,4,41087.91889733773,202.7015512948476,170.05200618696526,0.06107047070933271,0.9389295292906673
4,5,22559.349967165334,150.19770293571514,125.94883153047061,0.06294313527887,0.93705686472113
5,6,19835.611682781295,140.8389565524443,115.5060172663976,0.05742767194205198,0.942572328057948
6,7,18583.37801329173,136.3208641892052,113.04079966631366,0.06146552705064415,0.9385344729493559
7,8,50118.2831632411,223.87113070523654,185.21792533262354,0.05727741002547252,0.9427225899745275
8,9,35365.47736752066,188.05711198335644,160.0641949923372,0.056663056471123865,0.9433369435288761
9,10,44173.14791130383,210.17408953366214,173.55048721979153,0.05851858534749834,0.9414814146525017
